0,1,2
amierran,v, to lead astray
amore,n, a kind of bird
ampella,n, a flask
an,adj, only
anad,n, waste
anbyrdnes,n, resistance
ancenned,adj, only-begotten
ancleow,n, ankle
ancor,n, anchor
ancuman,v, to come
anda,n, envy
andcwiss,n, a reply
andefn,n, measure
andelbære,adj, reversed
andettan,v, to admit
andfang,n, acceptance
andfenge,adj, acceptable
andgiet,n, understanding
andgiete,adj, obvious
andgietol,adj, intelligent
andgiettacen,n, perceptible sign
andgit,n, intelligence
andian,v, to envy
andig,adj, envious
andlang,adj, throughout
andsaca,n, adversary
andsware,n, an answer
andswarian,v, to answer
andswaru,n, answer
andswerian,v, to answer
andtimber,n, matter
andustrian,v, to deny (by oaths)
andweard,adj, present
andweardian,v, to present
andweardnes,n, the present
andweorc,n, substance
andwig,n, resistance
andwis,adj, expert
andwist,n, support
andwlita,n, countenance
andwlitan,v, to look upon
andwyrdan,v, to answer
aneged,adj, one-eyed
anemnan,v, to declare
anfeald,adj, onefold
anfealdnes,n, oneness
anfloga,n, Solitary flyer
anforlætan,v, to leave alone
angbreost,n, asthma
ange,adj, narrow
angenga,n, lone traveler
anginn,n, a beginning
angsum,adj, narrow
angsumnes,n, troublesomeness
anhaga,n, a recluse
anhealdan,v, to hold
anhende,adj, one-handed
anhorn,n, unicorn
aniege,adj, one-eyed
animan,v, to take away
anlec,n, respect
anlicnes,n, a likeness
anliepig,adj, single
anlipig,adj, single
anlæcan,v, to unite
anlætan,v, to leave alone
anmedla,n, pride
annes,n, oneness
ansien,n, face
ansund,adj, sound
antid,n, prime
anwig,n, duel
apa,n, monkey
apostata,n, apostate
apuldor,n, apple tree
ar,n, honour
arcebiscop,n, archbishop
arcebiscoprice,n, an archbishopric
ardæde,adj, merciful
are,n, honor
arfæst,adj, honorable
arian,v, to show mercy to
arisan,vi, to rise
arisaþ,v, 123 plural present indicative 
arleas,adj, honorless
arm,n, arm
arstafas,n, help
arwe,n, arrow
aryþ,n, wave from an oar
arædan,v, to take counsel
aræran,v, to raise
asawan,v, to sow
asceadan,v, to separate
ascian,v, to demand
asciendlic,adj, interrogative
ascung,n, an asking
asecan,v, to search or seek out
asecgan,v, to tell
asellan,v, to expel
aseon,v, to look at
asettan,v, to set up
aseþan,v, to affirm
asittan,v, to sit up
asmeagan,v, to look into closely
asprungen,adj, defunct
asprungennes,n, eclipse
astandan,v, to stand up
astyrian,v, to stir up
asundrian,v, to separate
asundrodlic,adj, separable
asweartian,v, to blacken
aswebban,v, to lull
asyndrung,n, a separation
ateon,vt, to draw
atol,adj, terrible
ator,n, poison
atorbære,adj, poisonous
atorcoppan,n, plural of ātorcoppe
atorcoppe,n, spider
atorlic,adj, poisonlike
awacan,vi, to wake up
aweccan,vt, to wake up
awemman,v, to disfigure
awendan,v, to translate
aweorpan,v, to cast off
awlancian,v, to be proud
awlencan,v, to make splendid
awrecan,v, to drive away
awuldrian,v, to glorify
awyrcan,v, to do
awyrgan,v, to strangle
aþ,n, an oath
aþecgan,v, to take on
aþeotan,v, to wind
aþexe,n, lizard
aþiedan,v, to disjoin
aþreotan,v, to be annoying
aþum,n, son-in-law
aþweran,vt, to churn
baca,n, genitive plural of bæc
bacan,v, to bake
badian,v, to take a pledge or fine
balca,n, balk
ban,n, bone
bana,n, murderer
banhus,n, body
banleas,adj, boneless
bannan,v, to summon
bar,n, boar
barum,adj, strong dative no and masculine singular 
basnian,v, to await
basnung,n, expectation
basu,adj, purple
bat,n, boat
batian,v, to fatten
batweard,n, ship's watchman
baðian,v, to bathe
baþian,v, to bathe
beacenfyr,n, signal-fire
beacenstan,n, a stone on which a beacon burns
beacn,n, sign
beacnian,v, synonym of bīecnan
beacniendlic,adj, allegorical
beacnung,n, a beckoning
beado,n, battle
beadu,n, battle
beag,n, ring
beagian,v, to crown
beald,adj, bold
bealluc,n, testicle
bealo,n, harm
bealohydig,adj, evil-minded
beam,n, tree
beamweg,n, corduroy road
bean,n, bean (specifically the broad bean)
beard,n, beard
beardleas,adj, beardless
bearg,n, castrated boar
bearm,n, bosom
bearn,n, a child
bearneacen,adj, pregnant
bearneacnung,n, generation
beatan,v, to beat
beatere,n, beater
bebaðian,v, to bathe
bebaþian,v, to bathe
bebeodan,v, to give a by-command or a gentle command
bebindan,v, to bind in or about
beblawan,v, to blow upon
bebod,n, order
bebodræden,n, command
bebrecan,v, to break off
bebugan,v, to surround
bebycgan,v, to sell
bec,n, dative and genitive singular 
bece,n, beech
beceorfan,v, to becarve
becierran,v, to turn around or about
beclipian,v, to challenge
beclyppan,v, to clasp
beclysan,v, to close
becnawan,v, to know
becnyttan,v, to knot
becrafian,v, to crave
becreopan,v, to creep
becuman,v, to come (to)
becwelan,vi, to die
becweþan,v, to say or assert
bedcleofa,n, bedchamber
bedd,n, bed
beddrida,n, someone bedridden
bedecian,v, to beg (for alms)
bedelfan,v, to dig in and around
bedofen,adj, drowned
bedon,v, to shut
bedragan,v, to draw aside
bedrifan,v, to drive or thrust on or upon
bedrincan,v, to drink in
bedtid,n, bedtime
bedu,n, request
bedufan,v, to put under
bedul,adj, prone to
bedyppan,v, to dip
bedælan,v, to deprive (+ acc someone) (+ dat of something)
befealdan,v, to fold
befeallan,v, to fall
befeohtan,v, to take or bereave by fighting
befeolan,v, to commit
befindan,v, to notice
beflean,v, to flay
befleogan,v, to fly about or around
befleon,v, to flee
beflowan,v, to overflow
befon,v, to comprehend
beforancweþan,v, to foretell
befreogan,v, to free
befrignan,v, to ask
befylan,v, to defile
befæstan,vt, to fasten
befæstnian,v, to fix
began,v, to bego
begang,n, course
begangan,v, to go by
begbeam,n, a mulberry bush
begeotan,v, to pour over
begieman,v, to care for
begietan,v, to get
beginnan,v, to begin
begnagan,v, to begnaw
begong,n, course
begrafan,v, to bury
begreosan,v, to overwhelm with fear
begripan,v, to chide
begrætan,v, to lament
begyrdan,v, to begird
behabban,vt, to surround or embrace something
behat,n, promise
behatan,v, to promise or vow
behatland,n, promised land
beheafdian,v, to behead
beheafdung,n, a beheading
behealdan,v, to hold
beheawan,v, to beat
behegian,v, to hedge around
behelmian,v, to cover over
behleapan,v, to leap upon or in
behlidan,v, to close
behliehhan,v, to laugh at
behlæstan,v, to load (a ship)
behof,n, advantage
behofian,v, to have need of
behon,v, to behang
behreosan,v, to cover
behropan,v, to scoff at
behweorfan,v, to turn
behycgan,v, to think something over
behydan,v, to hide
behæs,n, self-command
beirnan,v, to run into/by
beladian,v, to excuse
belean,v, to censure
belecgan,v, to lay upon
beleogan,v, to deceive by lies
belgan,v, to become angry
belicgan,v, to lie by or about
beliefan,v, to believe
belifan,v, to stay or remain
belimpan,v, to happen
bellan,v, to roar
belle,n, bell
belltacen,n, signal by bell
belt,n, belt
belucan,v, to lock up
belyrtan,v, to deceive
belædan,v, to lead by
belæfan,v, to be left
bemetan,v, to measure by
bemiþan,v, to hide
bemurnan,v, to bemoan
bemænan,v, to bemoan
ben,n, prayer
bena,n, petitioner
benc,n, bench
bendan,v, to bind
benemnan,v, to affirm
beneotan,v, to deprive of [+ dative]
beniman,v, to deprive
benn,n, a wound
bennian,v, to wound
benotian,v, to use
bensian,v, to pray
beo,v, first-person singular subjunctive and indicative 
beobread,n, the pollen of flowers collected by bees and mixed with honey for the food of the larvae
beoceorl,n, beekeeper
beocere,n, beekeeper
beod,n, table
beodan,v, to offer
beodclaþ,n, tablecloth
beodern,n, dining room
beofor,n, beaver
beofung,n, shaking
beogang,n, swarm of bees
beogol,adj, agreeing
beomodor,n, queen bee
beon,v, to be
beor,n, beer
beorcan,v, to bark
beorg,n, mountain
beorgan,v, to save
beorht,adj, bright
beorhthwil,n, glance
beorhtian,v, to shine
beorhtnes,n, brightness
beorhtost,adj, superlative of beorht: brightest
beorma,n, yeast
beorn,n, man
beornas,n, plural of beorn
beorsele,n, beerhall
beorþegu,n, beer-drinking
beot,n, threat
beotian,v, to threaten
beow,n, barley
beowyrt,n, sweet flag
bepæcan,v, to deceive
bepæcend,n, deceiver
bepæcestre,n, a woman who deceives
bepæcung,n, deceit
ber,n, bier
bera,n, bear
beran,v, to carry
bercan,v, to bark
bere,n, barley
bereafian,v, to deprive
bereofan,v, to bereave
beridan,v, to ride around
berige,n, berry
berstan,v, to break
berædan,v, to deprive of power
besawan,v, to sow
besceadan,v, to separate or part from
besceaduwian,v, to overshadow
bescieran,v, to shear
bescinan,v, to shine upon
bescitan,v, to smear or shit all over
bescufan,v, to shove
bescyldian,v, to shield
bescyldigian,vt, to lay fault or blame upon (someone)
besecgan,v, to announce
besellan,v, to surround
besendan,v, to send
besengan,n, to singe
beseon,v, to see or look about or around
besettan,v, to set near
besierwan,v, to entrap
besig,adj, busy
besincan,v, to sink
besingan,v, to sing about
besittan,v, to sit near
beslean,v, to beat
beslæpan,v, to sleep
besma,n, broom
besmeagan,v, to consider about
besmierwan,v, to besmear
besniwod,adj, covered with snow
besorgian,v, to be sorry for
besprecan,v, to speak about
bestandan,v, to stand by or near
bestelan,v, to steal away or upon
besteppan,v, to tread or step upon
bestieman,v, to make wet
bestingan,v, to thrust in
bestreawian,v, to bestrew
bestrican,v, to make a stroke about or around
bestridan,v, to bestride
bestyrian,v, to heap or pile up
beswican,vt, to deceive
beswincan,v, to labour for or at
betan,vt, to improve
betellan,v, to speak or tell about
beteon,v, to draw over
betera,adj, better
beterian,v, to improve
betest,adj, best
betredan,v, to tread upon or over
betynan,v, to shut
betæcan,v, to show
bewacian,v, to keep watch over
bewarian,v, to keep
bewealwian,v, to wallow
beweardian,v, to ward
beweddian,v, to wed
bewendan,v, to turn about or around
beweorpan,vt, to throw away
bewepan,v, to weep
bewindan,v, to wind around or about
bewitan,v, to overlook
bewlatian,v, to see
bewlitan,v, to look
bewrecan,v, to exile
bewritan,v, to write down
bewyrcan,v, to work
bewægnan,v, to offer
bewæpnian,v, to disarm
beæwnian,v, to join in marriage
beþeccan,v, to cover
beþencan,v, to think about
beþian,v, to heat
beþiedan,v, to join
beþrawan,v, to twist
beþringan,v, to throng or press around
biblioþece,n, library
bicce,n, bitch
bicnol,adj, indicating
bidan,v, to wait
biddan,v, to ask
biecnan,v, to beckon
bieldan,v, to make bold
bieme,n, trumpet
biemere,n, a trumpeter
biemian,v, to play a trumpet
bierce,n, birch
biergan,v, to taste
bierhtu,n, brightness
biernan,vi, to burn
bifian,v, to tremble
bigenga,n, inhabitant
bil,n, a kind of sword or other bladed weapon
bilehwit,adj, pure
bilewit,adj, innocent
biliþe,n, an image
binama,n, pronoun
bindan,v, to bind
binn,n, stall
biscop,n, bishop (ranking member of Christian clergy)
biscopdom,n, a bishop's province
biscophad,n, bishophood
biscoprice,n, a bishopric
bisenian,v, to set an example
bisgian,v, to busy (keep oneself occupied)
bisig,adj, busy
bisignes,n, care
bisigu,n, business
bismer,n, filthiness
bispell,n, example
bispellboc,n, book of parables
bisæc,n, visit
bisæcc,n, wallet
bita,n, bite (of food)
bitan,v, to bite
bite,n, bite
biter,adj, bitter (taste etc.)
biternes,n, the quality or state of being bitter
biword,n, an adverb
blac,adj, pale
blacern,n, place for light
blacian,v, to become pale
blanc,adj, white
blanca,n, white (or grey) horse
blandan,v, to blend
blatian,v, to be pale or livid
blaw,adj, blue
blawan,v, to blow
bleat,adj, wretched
bleaþ,adj, gentle
bled,n, a shoot
bledan,v, to bleed
bledhwæt,adj, shoot growing quickly
blencan,v, to deceive
blendan,v, to blind
bleo,n, colour
bleoread,adj, purple
bletsian,v, to bless
bletsung,n, blessing
blican,v, to shine
blind,adj, blind
blindnes,n, blindness
blinnan,v, to cease
bliss,n, joy
blissian,vi, to rejoice
bliþe,adj, clement
blod,n, blood
blodgian,v, to make or become bloody
blodig,adj, of the nature of blood
blodleas,adj, bloodless
blodreow,adj, bloodthirsty
blodwite,n, penalty for bloodshed
bloma,n, flower
blondenfeax,adj, grey-haired
blostm,n, flower
blostma,n, flower
blostmbære,adj, blooming
blostmian,v, to blossom
blostmig,adj, flowery
blot,n, a sacrifice
blotan,v, to sacrifice (to a god)
blotmonaþ,n, November
blowan,v, to flower
blæc,adj, black
blæd,n, a leaf
blædnes,n, flower
blæge,n, gudgeon
blæhæwen,adj, light blue
blæse,n, blaze
blæst,n, blowing
blætan,v, to baa
boc,n, book
bocere,n, scribe
bocgestreon,n, library
bochus,n, a library
bocian,v, to give by charter
boclar,n, book-learning
boclic,adj, books
bocstæf,n, written character
boctreow,n, beech
bod,v, a command
boda,n, messenger
bodan,n, ground
bodian,v, to tell
bodig,n, stature
bog,n, the arm or shoulder
boga,n, bow (weapon)
bogan,n, plural of boga
bogiht,adj, crooked
bolca,n, gangway (of ship)
bold,n, house
bolgenmod,adj, enraged
bolla,n, bowl
bolle,n, bowl
bolster,n, pillow
bolt,n, bolt
bon,n, ornament
bonda,n, husband
bora,n, bearer (only attested in compounds)
bord,n, board
bordclaþ,n, tablecloth
borg,n, pledge
borgian,v, to borrow
borian,v, to bore
bosig,n, an ox or cowstall
bosm,n, breast
bot,n, help
botettan,v, to improve
botleas,adj, bootless
botm,n, bottom
box,n, box
boxtreow,n, box tree
boþen,n, rosemary
brad,adj, broad
brand,n, firebrand
brant,adj, tall
brastlian,v, to brustle
bread,n, bit
breahtm,n, a noise
breawern,n, brewery
brec,n, pants
brecan,v, to break
brecþ,n, heartbreak
bred,n, surface
bregdan,v, to move back and forth
brego,n, prince
breme,adj, famous
breost,n, chest
breostcearu,n, anxiety
breotan,v, to break
breowan,v, to brew
breoþan,v, to decay
bretwalda,n, title of certain Anglo-Saxon kings
bridd,n, young bird
briddas,n, plural of bridd
bridel,n, bridle
brim,n, the edge of the sea or a body of water
brimliþend,n, seafarer
brine,n, brine
bringan,v, to bring
briw,n, porridge
broc,n, stream
brocc,n, badger
brocen,adj, broken
broga,n, terror
brom,n, broom (the plant)
brord,n, point
broþ,n, broth
broþor,n, brother
broþorbana,n, a brother's murderer
broþorleas,adj, brotherless
broþorlic,adj, brotherly
broþorræden,n, brotherhood
bru,n, an eyelash
brucan,v, to use
brun,adj, brown
bryce,n, breaking
brycg,n, bridge
brycgian,v, to bridge
bryd,n, bride
brydguma,n, bridegroom
bryne,n, burning
bryrdan,v, to prick
brysan,v, to bruise
brytta,n, giver
bryþen,n, brewing
brædan,vt, to make broad
brægn,n, brain
bræmel,n, bramble
bræmelberie,n, brambleberry (Rubi bacca)
bræs,n, ore
bræsen,adj, made of brass
bræw,n, eyelid
bræþ,n, odour
buan,v, to live or dwell
buc,n, belly
bucc,n, buck (male deer)
bucca,n, he-goat
budda,n, beetle
buend,n, an inhabitant
bugan,v, to bend
bur,n, private chamber
burbyrde,adj, of peasant birth
burg,n, city
burgræden,n, citizenship
burhleod,n, burgess
burhleoda,n, burgess
burna,n, stream
burne,n, a stream
butere,n, butter
buttorfleoge,n, butterfly
bycgan,v, to buy
bydel,n, beadle
bygan,v, to bend
byldan,v, to build
byrde,adj, born
byrdling,n, turtle
byre,n, child
byrgan,v, to hide
byrgen,n, burial-place
byrig,n, genitive and dative singular 
byrla,n, trunk
byrne,n, corselet
byrst,n, bristle
byrþen,n, burden
bysen,n, example
bæc,n, back
bæcbord,n, the larboard or left-hand side of a ship
bæcere,n, baker (person who bakes and sells bread
bæcern,n, bakery
bæcestre,n, one who bakes
bæchus,n, bakery
bædan,v, to constrain
bæddel,n, an effeminate man
bæl,n, funeral pyre
bælfyr,n, balefire
bælg,n, belly
bænen,adj, bone
bær,adj, bare
bærfot,adj, barefoot
bærlic,adj, barley-like
bærnan,vt, to burn
bæst,n, bast
bæþ,n, bath
bæþhus,n, bathhouse
cac,n, dung
cachus,n, outhouse
caf,adj, quick
cafscipe,n, alacrity
calan,vi, to become cool or cold
caldra,adj, comparative of cald
calend,n, Calends (the first day of a month
calu,adj, bald
camb,n, comb
camp,n, combat
campdom,n, warfare
campian,v, to fight
camplic,adj, military
campræden,n, state or condition of contest
campstede,n, battlefield
campung,n, fighting
campwisa,n, an overseer of public games
canc,n, jeering
cancer,n, cancer
cancettan,v, to cry out
candel,n, candle
cann,n, a piece of knowledge
canne,n, a can
capian,v, to look
carcern,n, prison
carful,adj, anxious
carian,v, to care about
carig,adj, grieving
carl,n, a freeman
carleas,adj, careless
carleasnes,n, freedom from care
carlfugol,n, male bird
carr,n, stone
carte,n, paper
caru,n, worry
carwielm,n, flood of anxiety or sorrow
casere,n, emperor
caserlic,adj, imperial
casern,n, empress
castel,n, town
castenere,n, cabinet
catt,n, cat
catte,n, a female cat
cawel,n, colewort
ceac,n, jug
ceace,n, jaw
ceafl,n, jaw
ceafor,n, beetle
ceahhe,n, jackdaw
ceahhettan,v, to laugh loudly
cealc,n, plaster
ceald,adj, cold
cealdheort,adj, coldhearted
cealdian,v, to become cold
cealdnes,n, coldness
cealf,n, calf (young bovine)
ceallian,v, to call
ceap,n, cattle
ceapian,v, to buy
ceapmann,n, merchant
ceapstow,n, marketplace
cearseld,n, sad home
ceas,n, dispute
ceasnes,n, election
ceaster,n, city
ceasterleod,n, a citizen
ceder,n, the cedar tree
cederbeam,n, cedar
cedertreow,n, cedar
cedrisc,adj, cedar
celde,n, spring
cele,n, cold
cemban,v, to comb
cempa,n, champion
cen,n, torch
cene,adj, bold
cenep,n, mustache
cennan,v, to make known
cenning,n, birth
cenningstow,n, birthplace
cenningtid,n, birthtime
cenþu,n, boldness
ceo,n, a chough
ceoce,n, jaw
ceod,n, pouch
ceol,n, ship (specifically a small flat-bottomed boat)
ceorfan,v, to cut
ceorfdeor,n, insect
ceorian,vi, to murmur
ceorl,n, a churl
ceorlboren,adj, low-born
ceorlfolc,n, the common people
ceorlian,v, to marry (a man)
ceorlisc,adj, churlish
ceorliscnes,n, churlishness
ceorlleas,adj, without a husband
ceorran,v, to creak
ceosan,v, to choose
ceosol,n, gravel
ceowan,v, to chew
ceowaþ,v, 123 plural present indicative 
cepan,v, to keep (an eye on)
cest,n, box
cetel,n, kettle
cicen,n, chicken
cidan,v, to chide
ciefes,n, concubine
ciefese,n, concubine
ciegan,v, to call
ciepe,n, onion
ciern,n, churn
cierr,n, a turn
cierran,vt, to turn
ciese,n, cheese
cietel,n, kettle
cild,n, child
cildhad,n, childhood
cildisc,adj, childish
cildlic,adj, childish
cimban,v, to join
cinan,v, to burst
cinn,n, chin
cipp,n, a small piece of wood
circul,n, circle
circuladl,n, circle-disease
cirice,n, church
ciriclic,adj, church
cirictun,n, churchyard
cirse,n, cherry
citelian,v, to tickle
citelung,n, tickling
ciþ,n, a young shoot of an herb or tree
clacu,n, the din of battle
clam,n, mud
clawan,v, to claw or scratch
clawu,n, claw
claþ,n, cloth
clea,n, claw
cleafa,n, that which is cloven or separated
cleofan,v, to cleave
clerc,n, clergyman
clif,n, a cliff
clifiht,adj, cliffy
clifstan,n, rock
climban,v, to climb
clingan,v, to whither
clipian,v, to call out
clipiendlic,adj, vocalic
clipol,adj, sounding
clipola,n, vowel
clipolgefeg,n, diphthong
cliwen,n, ball
cliþa,n, plaster
clucge,n, bell
clud,n, stone
clus,n, bar
clut,n, patch
clyccan,v, to bend
clyppan,v, to hug
clysan,v, to close
clæcleas,adj, free
clæg,n, clay
clæman,v, to smear
clæna,adj, strong accusative and nominative feminine plural 
clænan,adj, weak accusative feminine and masculine singular 
clæne,adj, clean
clænlic,adj, cleanly
clænsian,v, to clean
clænum,adj, strong dative no and masculine singular 
clæppan,v, to throb
cnafa,n, boy
cnapa,n, boy
cnawan,v, to know
cnawelæcing,n, acknowledgment
cnearr,n, small ship
cneordlæcan,v, to be diligent
cneorim,n, the number of (one's) kin
cneoris,n, a generation
cneow,n, the knee
cnif,n, knife
cniht,n, boy
cnihthad,n, the period between childhood and manhood
cnihtlic,adj, boyish
cnihtwesende,adj, young
cnocian,vi, to knock (rap one's knuckles against something)
cnosl,n, race
cnossian,vi, to beat
cnotta,n, knot
cnucel,n, the juncture of two bones
cnyll,n, a knell
cnyllan,v, to strike
cnyss,n, beating
cnyssan,v, to press
cnyssung,n, striking
cnyttan,v, to tie
cnæwe,adj, knowing
coc,n, a cook
cocc,n, cock
cocer,n, a quiver for arrows
cocnian,v, to season food
codd,n, bag
cofa,n, chamber
cofgod,n, household god
col,adj, cool (not hot or warm)
colian,v, to cool
copian,vit, to plunder
copor,n, copper
copp,n, cup
corenscipe,n, election
corn,n, corn
cornbære,adj, corn-bearing
corona,n, crown
cosp,n, shackle
coss,n, kiss
cost,n, option
costian,v, try
costung,n, temptation
cot,n, cottage
cotas,n, plural of cot
coþu,n, disease
crabba,n, crab
cracian,v, to resound
cradol,n, cradle
crafian,v, to crave
cran,n, crane (bird)
cranoc,n, crane [bird]
crawe,n, crow
creopan,v, to crawl
cribb,n, manger
crincan,v, to curl
cringan,v, to fall
cristen,adj, Christian
cristendom,n, Christianity
crocca,n, a crock
cropp,n, the crop of a bird
croppa,n, crop
cruc,n, cross
crudan,v, to drive
cruma,n, fragment
crycc,n, crutch
crycce,n, nominative plural 
crypel,n, cripple
cræft,n, strength
cræftan,v, to craft
cræftig,adj, strong
cræftleas,adj, artless
cræftlic,adj, artificial
cu,n, cow
cudele,n, cuttlefish
cuhyrde,n, a cowherd
culfre,n, dove
cuma,n, guest
cuman,v, to come
cumb,n, a hollow
cume,v, subjunctive present singular 
cumliþe,adj, hospitable
cumliþian,v, to lodge
cumliþnes,adj, hospitality
cumpæder,n, grandfather
cunnan,v, to know
cunnian,v, to experience
cunnung,n, knowledge
cuppe,n, a small drinking vessel
cusceote,n, woodpigeon
cuwearm,adj, (of milk) fresh from the cow
cuþ,adj, known
cuþa,n, acquaintance
cuþlæcan,v, to make known
cwacian,v, to quake
cwalu,n, killing
cwead,n, dung
cwealm,n, death
cwealmbære,adj, deadly
cweartern,n, prison
cweccan,vt, to shake
cwedol,adj, eloquent
cwelan,v, to die
cwelaþ,v, 123 plural present indicative 
cwele,v, first-person singular present indicative 
cwellan,v, to kill
cweman,v, to please
cweme,adj, pleasant
cwen,n, queen
cwene,n, a woman
cwenfugol,n, a female bird
cwenlic,adj, queenly
cweorn,n, quern
cweornstan,n, quernstone
cweþan,v, to say
cwic,adj, living
cwicbeam,n, quickbeam
cwice,n, couch grass
cwician,v, to quicken
cwicseolfor,n, quicksilver [mercury]
cwictreow,n, a rowan
cwidboc,n, book of maxims
cwide,n, a speech
cwidræden,n, agreement
cwiesan,v, to crush
cwild,n, plague
cwiþ,n, womb
cy,n, plural of cū
cycel,n, a small cake
cycene,n, kitchen
cyll,n, a leathern bottle
cylu,adj, spotted
cyme,n, coming
cymlic,adj, comely
cynd,n, generation
cynde,adj, innate
cyndelic,adj, natural
cynegierd,n, sceptre
cynehelm,n, crown
cynelic,adj, royal
cynerice,n, kingdom
cyneþrym,n, kingly host
cyning,n, king
cyningdom,n, kingdom
cyninge,n, queen
cyningrice,n, a kingdom
cynn,n, kind
cypren,adj, made of copper
cyre,n, choice
cyrf,n, an instrument used for cutting
cyrlic,n, charlock
cyrnel,n, a kernel
cyrtel,n, kirtle
cyrtenlæcan,vt, to beautify
cyssan,v, to kiss
cyst,n, choice
cystan,v, to get
cystig,adj, choice
cyþan,v, to make known
cyþlæcan,v, to become known
cyþþu,n, knowledge
cæg,n, a key
cægbora,n, key bearer
cæggian,v, to lock
cærsiht,adj, cressy
da,n, doe
dafen,n, what is fitting 
dafenian,v, to be fitting
dagian,v, to dawn
dagung,n, dawn
dah,n, dough
dal,n, division
daroþ,n, dart
dead,adj, dead
deadlic,adj, mortal
deadlicnes,n, mortality
deaf,adj, deaf
deag,n, color
deagol,adj, dark
deaw,n, dew
deaþ,n, death
deaþbed,n, deathbed
deaþlic,adj, deadly
deaþlicnes,n, mortality
deaþscyld,n, capital crime
deaþscyldig,adj, being death-guilty
deaþslege,n, deathblow
deaþwerig,adj, death-weary
declinian,v, to inflect or decline
declinung,n, declension
defe,adj, suitable
delf,n, digging
delfan,v, to dig
delu,n, nipple
dema,n, judge
deman,v, to judge
demend,n, judge
denn,n, den or lair
denu,n, valley
deofol,n, the Devil
deofolcund,adj, diabolical
deofollic,adj, demonic
deofolseoc,adj, possessed by a demon
deofolseocnes,n, demonic possession
deon,v, to suck
deop,adj, deep
deoplic,adj, deeply
deopnes,n, deepness
deor,n, wild animal
deorc,adj, dark
deorcnes,n, darkness
deorcynn,n, animalkind
deoren,adj, bestial
deorf,n, labor
deorfan,v, to labor
deorfellen,adj, made of beast or animal skins
deorling,n, a favourite
deorlingas,n, plural of deorling
derian,v, to hurt
deriendlic,adj, noxious
diacon,n, deacon
dic,n, ditch
diepe,n, the deep
diere,adj, expensive
dierne,adj, secret
diht,n, a setting in order
dihtan,v, to dictate
dihtian,v, to set in order
dihtnian,v, to order
dilegian,v, to blot out
dimm,adj, dim
disc,n, plate
discipul,n, scholar
distæf,n, distaff
docga,n, a powerful kind of dog
dogor,n, day
dohtor,n, daughter
dol,adj, foolish
dolg,n, a wound
dom,n, law
dombec,n, plural of domboc
domboc,n, book of laws
domeadig,adj, blessed with power
domern,n, a courthouse or another place of judgment
domhus,n, a house where a court or assembly is held
domleas,adj, inglorious
don,v, to do
dor,n, a large door
dora,n, bumblebee
dox,adj, dark
draca,n, dragon
dracu,n, trouble
dragan,v, to draw
dran,n, male bee
dream,n, joy
dreamcræft,n, the art of music
dreamere,n, musician
dreamleas,adj, joyless
dreccan,v, to torture
drefan,v, to stir up
drefednes,n, vexation
drefend,n, disturber
drefing,n, disturbance
