0,1,2
asettan,v," to set up, set out, place, "
aseþan,v, to affirm
asittan,v, to sit up
asmeagan,v," to look into closely, investigate"
asprungen,adj," defunct, deficient"
asprungennes,n, eclipse
astandan,v," to stand up, rise"
astyrian,v," to stir up, disturb"
asundrian,v, to separate
asundrodlic,adj, separable
asweartian,v," to blacken, darken, obscure"
aswebban,v," to lull, pacify, calm"
asyndrung,n," a separation, division, divorce"
ateon,vt," to draw, pull, or lead (somebody or something) out or away (from, out of, off, to something) (+ fram, ūt of, of, tō)"
atol,adj," terrible, dire, hideous, loathsome"
ator,n," poison, venom"
atorbære,adj, poisonous
atorcoppan,n, plural of ātorcoppe
atorcoppe,n, spider
atorlic,adj," poisonlike, bitter"
awacan,vi, to wake up
aweccan,vt, to wake up
awemman,v, to disfigure
awendan,v, to translate
aweorpan,v," to cast off, throw away"
awlancian,v, to be proud; to grow exultant
awlencan,v," to make splendid, proud, or rich"
awrecan,v," to drive away, expel"
awuldrian,v, to glorify
awyrcan,v," to do, effect"
awyrgan,v, to strangle
aþ,n, an oath
aþecgan,v," to take on, receive, consume, destroy (precise meaning unclear)"
aþeotan,v," to wind, sound or blow a musical instrument"
aþexe,n, lizard
aþiedan,v," to disjoin, detach, separate"
aþreotan,v," to be annoying, to be loathsome"
aþum,n, son-in-law
aþweran,vt, to churn
baca,n, genitive plural of bæc
bacan,v, to bake
badian,v, to take a pledge or fine
balca,n," balk, beam; bank, ridge"
ban,n, bone
bana,n, murderer
banhus,n, body
banleas,adj," boneless, without bones"
bannan,v," to summon, especially by proclamation"
bar,n, boar
basnian,v," to await, expect"
basnung,n, expectation
basu,adj, purple; scarlet; crimson
bat,n, boat
batian,v," to fatten, to get fatter"
batweard,n, ship's watchman; keeper or commander of a ship
baðian,v, to bathe
baþian,v, to bathe
beacenfyr,n," signal-fire, lighthouse"
beacenstan,n, a stone on which a beacon burns
beacn,n," sign, signal"
beacnian,v, synonym of bīecnan
beacniendlic,adj, allegorical
beacnung,n," a beckoning, a nodding"
beado,n," battle, war"
beadu,n," battle, war"
beag,n," ring, arm-ring, bracelet"
beagian,v," to crown, coronate"
beald,adj," bold, brave, confident, of good courage"
bealluc,n, testicle
bealo,n," harm, evil, malice"
bealohydig,adj," evil-minded, hostile"
beam,n, tree
beamweg,n, corduroy road
bean,n, bean (specifically the broad bean)
beard,n, beard
beardleas,adj, beardless
bearg,n," castrated boar, barrow"
bearm,n," bosom, lap"
bearn,n," a child, especially a son"
bearneacen,adj, pregnant
bearneacnung,n," generation, conception, pregnancy"
beatan,v, to beat
beatere,n, beater
bebaðian,v," to bathe, wash"
bebaþian,v," to bathe, wash"
bebeodan,v," to give a by-command or a gentle command, order, enjoin"
bebindan,v, to bind in or about
beblawan,v, to blow upon
bebod,n," order, mandate, command"
bebodræden,n," command, authority"
bebrecan,v," to break off; deprive, destroy, or spoil by breaking off; break to pieces; consume"
bebugan,v," to surround, encompass"
bebycgan,v," to sell, set or put to sale"
bece,n, beech
beceorfan,v," to becarve, cut off, cut or pare away; flay"
becierran,v, to turn around or about
beclipian,v, to challenge
beclyppan,v," to clasp, embrace, hold, clip"
beclysan,v," to close, shut"
becnawan,v, to know
becnyttan,v, to knot
becrafian,v, to crave
becreopan,v," to creep, creep into, crawl, bring secretly, be hidden"
becuman,v," to come (to); to arrive, reach"
becwelan,vi, to die
becweþan,v, to say or assert
bedcleofa,n," bedchamber, closet"
bedd,n, bed
beddrida,n," someone bedridden, paralytic"
bedecian,v, to beg (for alms)
bedelfan,v," to dig in and around; to bury, inter"
bedofen,adj, drowned
bedon,v, to shut
bedragan,v," to draw aside, seduce"
bedrifan,v," to drive or thrust on or upon, enforce one to do something"
bedrincan,v," to drink in, drink up, absorb"
bedtid,n, bedtime
bedu,n, request
bedufan,v," to put under, submerge, immerse, drown"
bedul,adj," prone to, or tending to ask; suppliant"
bedyppan,v," to dip, immerse; dunk"
bedælan,v, to deprive (+ acc someone) (+ dat of something)
befealdan,v," to fold, infold, fold up, entwine, overwhelm, involve, enwrap; wrap up, bewrap"
befeallan,v," to fall, fall to or upon; befall"
befeohtan,v, to take or bereave by fighting
befeolan,v," to commit, commend, deliver, grant"
befindan,v," to notice, find out"
beflean,v," to flay, take off the skin or bark"
befleogan,v, to fly about or around
befleon,v," to flee, flee from or away, escape"
beflowan,v, to overflow
befon,v," to comprehend, grasp; begrip, take hold of, catch"
beforancweþan,v, to foretell
befreogan,v," to free, make free; liberate"
befrignan,v," to ask, ask about, ask someone, ask for something, inquire, learn"
befylan,v," to defile, befoul"
befæstan,vt, to fasten; fix; ground; establish; make safe; put in safe keeping
befæstnian,v, to fix
began,v," to bego, go over, traverse; get to, come by, fall into"
begang,n," course, passage, circuit"
begangan,v," to go by, go about or around; bego, surround"
begbeam,n, a mulberry bush
begeotan,v," to pour over, soak"
begieman,v, to care for; to take care of
begietan,v," to get, acquire"
beginnan,v, to begin
begnagan,v," to begnaw, gnaw"
begong,n," course, passage, circuit"
begrafan,v, to bury
begreosan,v, to overwhelm with fear
begripan,v," to chide, chasten"
begrætan,v," to lament, bewail"
begyrdan,v," to begird; gird about or around, clothe, surround; beleaguer"
behabban,vt, to surround or embrace something
behat,n," promise, vow"
behatan,v, to promise or vow
behatland,n, promised land
beheafdian,v, to behead
beheafdung,n," a beheading, decapitation"
behealdan,v," to hold, occupy, retain"
beheawan,v," to beat, bruise"
behegian,v," to hedge around, behedge"
behelmian,v, to cover over
behleapan,v," to leap upon or in, fix"
behlidan,v," to close, to cover or cover over"
behliehhan,v," to laugh at; laugh over, deride, exult"
behlæstan,v, to load (a ship)
behof,n," advantage, behoof, profit; need"
behofian,v," to have need of, need"
behon,v," to behang, hang around"
behreosan,v, to cover
behropan,v," to scoff at, rail, trouble, plague; bedevil"
behweorfan,v, to turn; to change; to spread about
behycgan,v," to think something over, bear something in mind, consider, trust"
behydan,v," to hide, conceal, cover; bethatch"
behæs,n," self-command, vow, promise"
beirnan,v, to run into/by
beladian,v," to excuse, clear of guilt; exonerate"
belean,v," to censure, reprove; charge with"
belecgan,v," to lay upon, cover; overspread; overlay; bethatch"
beleogan,v, to deceive by lies
belgan,v," to become angry, to swell with rage"
belicgan,v," to lie by or about, beleaguer, encompass, beset"
beliefan,v, to believe
belifan,v, to stay or remain
belimpan,v," to happen, occur, befall; betide"
bellan,v," to roar, bellow, bark"
belle,n, bell
belltacen,n, signal by bell
belt,n, belt
belucan,v," to lock up, shut up a place, shut out, confine to a limit"
belyrtan,v, to deceive
belædan,v," to lead by, bring"
belæfan,v, to be left; remain
bemetan,v," to measure by, estimate, account, consider, compare; liken"
bemiþan,v," to hide, conceal, lie hid"
bemurnan,v," to bemoan, mourn over, bewail, care for; becare"
bemænan,v," to bemoan, bewail, lament, mourn"
ben,n," prayer, praying"
bena,n," petitioner, requester"
benc,n, bench
bendan,v, to bind
benemnan,v, to affirm
beneotan,v, to deprive of [+ dative]
beniman,v, to deprive
benn,n, a wound; mortal injury
bennian,v, to wound
benotian,v," to use, consume"
bensian,v, to pray
beo,n, bee
beobread,n, the pollen of flowers collected by bees and mixed with honey for the food of the larvae; beebread
beoceorl,n, beekeeper
beocere,n, beekeeper
beod,n, table
beodan,v," to offer, give"
beodclaþ,n, tablecloth
beodern,n, dining room
beofor,n, beaver
beofung,n," shaking, trembling"
beogang,n, swarm of bees
beogol,adj," agreeing, consenting"
beomodor,n, queen bee
beon,v, to be; exist
beor,n," beer, ale"
beorcan,v, to bark
beorg,n," mountain, hill"
beorgan,v," to save, deliver"
beorht,adj," bright, clear"
beorhthwil,n, glance
beorhtian,v," to shine, brighten"
beorhtnes,n," brightness, clearness, splendor"
beorhtost,adj, superlative of beorht: brightest
beorma,n," yeast, leaven"
beorn,n," man, warrior"
beornas,n, plural of beorn
beorsele,n, beerhall
beorþegu,n, beer-drinking
beot,n," threat, danger"
beotian,v, to threaten
beow,n, barley
beowyrt,n," sweet flag, Acorus calamus"
bepæcan,v, to deceive
bepæcend,n, deceiver
bepæcestre,n," a woman who deceives, entices, or flatters; seductress"
bepæcung,n, deceit
ber,n, bier; a litter to transport dead people
bera,n, bear
beran,v," to carry, bear"
bercan,v, to bark
bere,n, barley
bereafian,v," to deprive, to take away"
bereofan,v," to bereave, deprive"
beridan,v," to ride around, surround, beset, besiege, invest"
berige,n, berry
berstan,v," to break, shatter, burst"
berædan,v," to deprive of power, betray, get the better of"
besawan,v," to sow, sow about"
besceadan,v, to separate or part from
besceaduwian,v, to overshadow
bescieran,v," to shear, cut, or shave off, cut or hair"
bescinan,v," to shine upon, illuminate; alight"
bescitan,v," to smear or shit all over, befoul, befilth"
bescufan,v," to shove, throw, project"
bescyldian,v," to shield, defend oneself"
bescyldigian,vt, to lay fault or blame upon (someone); accuse
besecgan,v, to announce
besellan,v, to surround; to bring on
besendan,v, to send
besengan,n," to singe, scorch, burn"
beseon,v, to see or look about or around
besettan,v," to set near, surround, beset; set about"
besierwan,v," to entrap, deceive, ensnare"
besig,adj, busy
besincan,v," to sink, submerge"
besingan,v," to sing about, charm, enchant, bewail"
besittan,v," to sit near; sit about, surround, beset"
beslean,v," to beat, strike or cut off, take away, bereave"
beslæpan,v," to sleep, sleep through or over"
besma,n," broom, besom"
besmeagan,v, to consider about
besmierwan,v," to besmear, to rub with ointment or salve"
besniwod,adj," covered with snow, snowy"
besorgian,v," to be sorry for, care for; worry over, be anxious for, fear"
besprecan,v," to speak about; bespeak, mention"
bestandan,v," to stand by or near, stand on or upon, stand about or around"
bestelan,v, to steal away or upon
besteppan,v," to tread or step upon, go, enter"
bestieman,v," to make wet, soak, bedew"
bestingan,v," to thrust in, push"
bestreawian,v," to bestrew; strew all over, besprinkle"
bestrican,v, to make a stroke about or around
bestridan,v, to bestride
bestyrian,v, to heap or pile up
beswican,vt," to deceive, lead astray, cheat, betray"
beswincan,v," to labour for or at, swink, toil, make with toil"
betan,vt, to improve
betellan,v, to speak or tell about
beteon,v," to draw over; pull over, cover; bethatch, inclose, protect, surround"
betera,adj, better
beterian,v," to improve, to make better"
betest,adj, best
betredan,v," to tread upon or over, cover"
betynan,v," to shut, shut up, close, enclose, hedge in"
betæcan,v," to show, point out, assign, destine"
bewacian,v, to keep watch over
bewarian,v," to keep, guard, preserve, protect"
bewealwian,v," to wallow, wallow around"
beweardian,v," to ward, keep, protect; shelter"
beweddian,v," to wed, betroth, pledge, plight, give security for"
bewendan,v, to turn about or around; wend about or around
beweorpan,vt," to throw away, cast down (+ on, into)"
bewepan,v," to weep, weep over or about, bewail"
bewindan,v," to wind around or about, enwrap, wrap, entwine, encircle, surround"
bewitan,v," to overlook; oversee, watch over; bewatch, superintend, preside, govern"
bewlatian,v," to see, look, behold"
bewlitan,v," to look, behold, spectate"
bewrecan,v," to exile, send away"
bewritan,v," to write down, inscribe; inwrite"
bewyrcan,v," to work, inset, insert, build round, surround, cover over; bethatch, adorn; bedeck"
bewægnan,v, to offer
bewæpnian,v, to disarm
beæwnian,v," to join in marriage, to marry"
beþeccan,v, to cover
beþencan,v," to think about, consider; bethink, bear in mind"
beþian,v," to heat, warm, foment"
beþiedan,v," to join, attach"
beþrawan,v, to twist
beþringan,v," to throng or press around, surround, encompass; beset, burden, oppress"
biblioþece,n, library
bicce,n," bitch, a female dog"
bicnol,adj," indicating, indicative"
bidan,v," to wait, to wait for"
biddan,v," to ask, request"
biecnan,v," to beckon, nod"
bieldan,v," to make bold, encourage, cheer"
bieme,n, trumpet
biemere,n, a trumpeter
biemian,v, to play a trumpet
bierce,n, birch
biergan,v, to taste
bierhtu,n," brightness, splendor"
biernan,vi, to burn
bifian,v," to tremble, shake"
bigenga,n, inhabitant
bil,n," a kind of sword or other bladed weapon, apparently having two edges"
bilehwit,adj," pure, sincere, honest"
bilewit,adj," innocent, simple"
biliþe,n," an image, a representation, resemblance, likeness"
binama,n, pronoun
bindan,v," to bind, constrain"
binn,n, stall
biscop,n, bishop (ranking member of Christian clergy)
biscopdom,n," a bishop's province, a bishopric"
biscophad,n," bishophood, a bishop's office or state, a bishopric, episcopate"
biscoprice,n," a bishopric; a bishop's province, diocese"
bisenian,v, to set an example
bisgian,v, to busy (keep oneself occupied)
bisig,adj, busy
bisignes,n," care, anxiety, occupation"
bisigu,n," business, occupation, activity"
bismer,n," filthiness, pollution, abomination, disgrace, infamy, mockery, reproach, contumely, blasphemy, calumny"
bispell,n," example, pattern; proverb"
bispellboc,n, book of parables
bisæc,n," visit, going to see"
bisæcc,n, wallet
bita,n," bite (of food), mouthful"
bitan,v, to bite
bite,n, bite
biter,adj, bitter (taste etc.)
biternes,n, the quality or state of being bitter; bitterness
biword,n, an adverb
blac,adj," pale, shining, white"
blacern,n, place for light
blacian,v, to become pale
blanc,adj, white
blanca,n, white (or grey) horse
blandan,v, to blend
blatian,v, to be pale or livid
blaw,adj, blue
blawan,v, to blow; breathe
bleat,adj, wretched
bleaþ,adj, gentle; shy; cowardly; timid
bled,n," a shoot, branch"
bledan,v, to bleed
bledhwæt,adj, shoot growing quickly
blencan,v, to deceive
blendan,v, to blind
bleo,n, colour
bleoread,adj, purple; blue-red
bletsian,v," to bless, to consecrate"
bletsung,n, blessing
blican,v," to shine, glitter, dazzle, sparkle, twinkle"
blind,adj, blind
blindnes,n," blindness, inability to see because of darkness"
blinnan,v," to cease, leave off, rest from"
bliss,n, joy
blissian,vi, to rejoice; be glad
bliþe,adj," clement, gentle"
blod,n, blood
blodgian,v, to make or become bloody
blodig,adj, of the nature of blood; bloodlike
blodleas,adj, bloodless
blodreow,adj, bloodthirsty
blodwite,n," penalty for bloodshed, bloodwite"
bloma,n, flower
blondenfeax,adj," grey-haired, grizzly-haired"
blostm,n," flower, blossom"
blostma,n," flower, blossom"
blostmbære,adj," blooming, blossoming; bloomy"
blostmian,v," to blossom, to bloom"
blostmig,adj," flowery, floral"
blot,n," a sacrifice, especially a blood sacrifice by heathens"
blotan,v, to sacrifice (to a god)
blotmonaþ,n, November
blowan,v," to flower, blossom, bloom"
blæc,adj, black
blæd,n, a leaf
blædnes,n," flower, blossom"
blæge,n, gudgeon; bleak (fish)
blæhæwen,adj, light blue
blæse,n," blaze, flame"
blæst,n," blowing, blast, burst of wind, breeze"
blætan,v," to baa, bleat"
boc,n, book
bocere,n, scribe
bocgestreon,n, library
bochus,n," a library, bookhouse"
bocian,v," to give by charter, to charter"
boclar,n, book-learning; booklore
boclic,adj," books; booklike, bookish, biblical, scriptural"
bocstæf,n," written character, letter"
boctreow,n, beech
bod,v," a command, mandate, precept, order; bidding"
boda,n," messenger, envoy, herald, apostle, angel"
bodan,n," ground, foundation"
bodian,v," to tell, proclaim, announce"
bodig,n, stature
bog,n, the arm or shoulder
boga,n, bow (weapon)
bogan,n, plural of boga
bogiht,adj," crooked, full of bends"
bolca,n, gangway (of ship)
bold,n," house, dwelling, building"
bolgenmod,adj, enraged
bolla,n, bowl
bolle,n," bowl, cup, pot, beaker, measure"
bolster,n, pillow
bolt,n, bolt
bon,n, ornament
bonda,n, husband
bora,n, bearer (only attested in compounds)
bord,n," board, plank"
bordclaþ,n, tablecloth
borg,n, pledge
borgian,v, to borrow
borian,v," to bore, pierce"
bosig,n, an ox or cowstall
bosm,n," breast, bosom, chest"
bot,n," help, assistance, rescue, remedy, cure, deliverance from evil"
botettan,v, to improve
botleas,adj," bootless, unpardonable, what cannot be redeemed, recompensed or expiated by the payment of boot"
botm,n, bottom; foundation
box,n, box
boxtreow,n, box tree
boþen,n, rosemary
brad,adj, broad
brand,n, firebrand; torch
brant,adj," tall, high, steep"
brastlian,v, to brustle; rustle; crackle; make a noise; murmur
bread,n," bit, piece, morsel, crumb"
breahtm,n," a noise; tumult; clamour; revelry, music; sound; cry"
breawern,n," brewery, brewhouse"
brec,n," pants, trousers; breeches"
brecan,v, to break
brecþ,n," heartbreak, grief"
bred,n, surface
bregdan,v," to move back and forth, vibrate"
brego,n," prince, lord, ruler"
breme,adj," famous, renowned, glorious"
breost,n, chest
breostcearu,n," anxiety, sorrow"
breotan,v," to break, bruise, destroy"
breowan,v, to brew
breoþan,v," to decay, waste away"
bretwalda,n, title of certain Anglo-Saxon kings
bridd,n," young bird, chick"
briddas,n, plural of bridd
bridel,n, bridle
brim,n, the edge of the sea or a body of water
brimliþend,n," seafarer, sea-traveller"
brine,n, brine
bringan,v, to bring
briw,n," porridge, oatmeal; pottage"
broc,n," stream, brook"
brocc,n, badger
brocen,adj, broken
broga,n," terror, dread, horror"
brom,n, broom (the plant)
brord,n, point
broþ,n, broth
broþor,n, brother
broþorbana,n," a brother's murderer, fratricide"
broþorleas,adj, brotherless
broþorlic,adj, brotherly
broþorræden,n," brotherhood, fraternity"
bru,n, an eyelash
brucan,v, to use
brun,adj, brown
bryce,n, breaking
brycg,n, bridge
brycgian,v, to bridge
bryd,n, bride
brydguma,n, bridegroom
bryne,n," burning, fire; flame, heat"
bryrdan,v, to prick; goad; incite; urge; constrain
brysan,v, to bruise; crush
brytta,n," giver, dispenser, distributor"
bryþen,n," brewing, drink, beverage"
brædan,vt," to make broad, broaden"
brægn,n, brain
bræmel,n, bramble
bræmelberie,n, brambleberry (Rubi bacca)
bræs,n, ore
bræsen,adj, made of brass; brazen
bræw,n, eyelid
bræþ,n," odour, smell, scent"
buan,v, to live or dwell
buc,n," belly, stomach"
bucc,n, buck (male deer)
bucca,n, he-goat
budda,n, beetle
buend,n, an inhabitant
bugan,v," to bend, bow (down)"
bur,n," private chamber, room"
burbyrde,adj, of peasant birth
burg,n, city
burgræden,n, citizenship
burhleod,n," burgess, citizen"
burhleoda,n," burgess, citizen"
burna,n, stream
burne,n," a stream, brook, river, or other running water"
butere,n, butter
buttorfleoge,n, butterfly
bycgan,v, to buy
bydel,n," beadle, apparitor"
bygan,v," to bend, bow down to, turn back"
byldan,v, to build
byrde,adj," born, well-born, noble, rich"
byrdling,n," turtle, tortoise"
byre,n," child, son, descendant; young man, youth"
byrgan,v, to hide
byrgen,n, burial-place; grave; tomb; sepulchre
byrla,n," trunk, body"
byrne,n," corselet, coat of mail"
byrst,n, bristle
byrþen,n, burden
bysen,n, example
bæc,n, back
bæcbord,n, the larboard or left-hand side of a ship
bæcere,n," baker (person who bakes and sells bread, etc)"
bæcern,n," bakery, bakehouse"
bæcestre,n, one who bakes; baker
bæchus,n," bakery, bakehouse"
bædan,v," to constrain, to incite, to compel"
bæddel,n, an effeminate man
bæl,n," funeral pyre, bonfire"
bælfyr,n," balefire, funeral fire, sacrificial fire"
bælg,n, belly
bænen,adj, bone
bær,adj," bare, naked, unconcealed"
bærfot,adj, barefoot
bærlic,adj, barley-like
bærnan,vt, to burn
bæst,n, bast; inner bark of a tree from which rope is made
bæþ,n, bath
bæþhus,n, bathhouse
cac,n," dung, excrement"
cachus,n," outhouse, shithouse"
caf,adj," quick, sharp, prompt, nimble, swift"
cafscipe,n," alacrity, energy, promptness, boldness"
calan,vi, to become cool or cold
caldra,adj, comparative of cald
calend,n," Calends (the first day of a month, particularly the first day of a month of the Roman calendar)"
calu,adj, bald
camb,n, comb
camp,n, combat
campdom,n, warfare
campian,v," to fight, contend against"
camplic,adj, military
campræden,n, state or condition of contest
campstede,n, battlefield
campung,n," fighting, contest"
campwisa,n, an overseer of public games; agonothete
canc,n, jeering; scorn; derision
cancer,n, cancer
cancettan,v, to cry out; chatter; mock; deride
candel,n, candle
cann,n, a piece of knowledge
canne,n, a can; cup; krater
capian,v," to look; look up, lie on one's back; turn, incline (oneself)"
carcern,n," prison, jail"
carful,adj, anxious
carian,v, to care about
carig,adj, grieving
carl,n," a freeman, a man of middle rank or social class [in Norse and Anglo-Saxon society]"
carleas,adj," careless, reckless, without care, free"
carleasnes,n," freedom from care, security, carelessness"
carlfugol,n, male bird; cock
carr,n," stone, rock"
carte,n, paper
caru,n," worry, anxiety"
carwielm,n, flood of anxiety or sorrow
casere,n, emperor
caserlic,adj, imperial
casern,n, empress
castel,n, town; village
castenere,n, cabinet; chest
catt,n, cat
catte,n, a female cat
cawel,n, colewort
ceac,n, jug; pitcher
ceace,n, jaw; jawbone
ceafl,n, jaw; cheek
ceafor,n, beetle
ceahhe,n," jackdaw, chough"
ceahhettan,v, to laugh loudly; laugh loud or in a cackling manner
cealc,n," plaster, mortar"
ceald,adj, cold
cealdheort,adj, coldhearted
cealdian,v," to become cold, to chill"
cealdnes,n," coldness, cold"
cealf,n, calf (young bovine)
ceallian,v, to call
ceap,n," cattle, any commodity"
ceapian,v, to buy
ceapmann,n, merchant
ceapstow,n, marketplace
cearseld,n," sad home, dwelling of sorrow"
ceas,n, dispute; quarrel
ceasnes,n, election; choice
ceaster,n, city
ceasterleod,n," a citizen, townsperson"
ceder,n, the cedar tree
cederbeam,n, cedar
cedertreow,n, cedar
cedrisc,adj, cedar
celde,n, spring
cele,n," cold, coldness"
cemban,v, to comb
cempa,n, champion; warrior
cen,n, torch
cene,adj, bold
cenep,n, mustache
cennan,v," to make known, declare"
cenning,n, birth
cenningstow,n, birthplace
cenningtid,n, birthtime
cenþu,n, boldness; bravery; keenness
ceo,n," a chough, a bird of the genus Corvus; a jay; crow; jackdaw"
ceoce,n, jaw
ceod,n, pouch
ceol,n, ship (specifically a small flat-bottomed boat)
ceorfan,v, to cut
